
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002441                       # Number of seconds simulated (Second)
simTicks                                   2441001728                       # Number of ticks simulated (Tick)
finalTick                                  2441001728                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     46.64                       # Real time elapsed on the host (Second)
hostTickRate                                 52341736                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     729020                       # Number of bytes of host memory used (Byte)
simInsts                                      9773767                       # Number of instructions simulated (Count)
simOps                                       22101016                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   209576                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     473905                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           256                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          9535164                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.975587                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.025023                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        23464591                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      723                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       22936198                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3620                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1364292                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3026666                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  18                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             9301497                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.465861                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.572256                       # Number of insts issued each cycle (Count)
system.l2bus.transDist::WritebackClean           1801                       # Transaction distribution (Count)
system.l2bus.transDist::CleanEvict              23357                       # Transaction distribution (Count)
system.l2bus.transDist::UpgradeReq                 45                       # Transaction distribution (Count)
system.l2bus.transDist::UpgradeResp                45                       # Transaction distribution (Count)
system.l2bus.transDist::ReadExReq                8585                       # Transaction distribution (Count)
system.l2bus.transDist::ReadExResp               8585                       # Transaction distribution (Count)
system.l2bus.transDist::ReadCleanReq             2316                       # Transaction distribution (Count)
system.l2bus.transDist::ReadSharedReq          281962                       # Transaction distribution (Count)
system.l2bus.pktCount_system.icache.mem_side_port::system.l2cache.cpu_side_port         6428                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktCount_system.dcache.mem_side_port::system.l2cache.cpu_side_port       871219                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktCount::total                   877647                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktSize_system.icache.mem_side_port::system.l2cache.cpu_side_port       263168                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.pktSize_system.dcache.mem_side_port::system.l2cache.cpu_side_port     36273408                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.pktSize::total                  36536576                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.snoops                             11398                       # Total snoops (Count)
system.l2bus.snoopTraffic                      118464                       # Total snoop traffic (Byte)
system.l2bus.snoopFanout::samples              304302                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::mean               0.002488                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::stdev              0.049814                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::underflows                0      0.00%      0.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::0                    303545     99.75%     99.75% # Request fanout histogram (Count)
system.l2bus.snoopFanout::1                       757      0.25%    100.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::2                         0      0.00%    100.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::overflows                 0      0.00%    100.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::min_value                 0                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::max_value                 1                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::total                304302                       # Request fanout histogram (Count)
system.l2bus.power_state.pwrStateResidencyTicks::UNDEFINED   2441001728                       # Cumulative time (in ticks) in various power states (Tick)
system.l2bus.reqLayer0.occupancy            292043776                       # Layer occupancy (ticks) (Tick)
system.l2bus.reqLayer0.utilization                0.1                       # Layer utilization (Ratio)
system.l2bus.respLayer0.occupancy             1778940                       # Layer occupancy (ticks) (Tick)
system.l2bus.respLayer0.utilization               0.0                       # Layer utilization (Ratio)
system.l2bus.respLayer1.occupancy           223151616                       # Layer occupancy (ticks) (Tick)
system.l2bus.respLayer1.utilization               0.1                       # Layer utilization (Ratio)
system.l2bus.snoop_filter.totRequests          584744                       # Total number of requests made to the snoop filter. (Count)
system.l2bus.snoop_filter.hitSingleRequests       291883                       # Number of requests hitting in the snoop filter with a single holder of the requested data. (Count)
system.l2bus.snoop_filter.hitMultiRequests            7                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.l2bus.snoop_filter.totSnoops               746                       # Total number of snoops made to the snoop filter. (Count)
system.l2bus.snoop_filter.hitSingleSnoops          746                       # Number of snoops hitting in the snoop filter with a single holder of the requested data. (Count)
system.l2bus.snoop_filter.hitMultiSnoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.l2cache.demandHits::cpu.inst               165                       # number of demand (read+write) hits (Count)
system.l2cache.demandHits::cpu.data            273765                       # number of demand (read+write) hits (Count)
system.l2cache.demandHits::total               273930                       # number of demand (read+write) hits (Count)
system.l2cache.overallHits::cpu.inst              165                       # number of overall hits (Count)
system.l2cache.overallHits::cpu.data           273765                       # number of overall hits (Count)
system.l2cache.overallHits::total              273930                       # number of overall hits (Count)
system.l2cache.demandMisses::cpu.inst            2147                       # number of demand (read+write) misses (Count)
system.l2cache.demandMisses::cpu.data           16782                       # number of demand (read+write) misses (Count)
system.l2cache.demandMisses::total              18929                       # number of demand (read+write) misses (Count)
system.l2cache.overallMisses::cpu.inst           2147                       # number of overall misses (Count)
system.l2cache.overallMisses::cpu.data          16782                       # number of overall misses (Count)
system.l2cache.overallMisses::total             18929                       # number of overall misses (Count)
system.l2cache.demandMissLatency::cpu.inst    117499136                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.demandMissLatency::cpu.data    907202304                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.demandMissLatency::total    1024701440                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.overallMissLatency::cpu.inst    117499136                       # number of overall miss ticks (Tick)
system.l2cache.overallMissLatency::cpu.data    907202304                       # number of overall miss ticks (Tick)
system.l2cache.overallMissLatency::total   1024701440                       # number of overall miss ticks (Tick)
system.l2cache.demandAccesses::cpu.inst          2312                       # number of demand (read+write) accesses (Count)
system.l2cache.demandAccesses::cpu.data        290547                       # number of demand (read+write) accesses (Count)
system.l2cache.demandAccesses::total           292859                       # number of demand (read+write) accesses (Count)
system.l2cache.overallAccesses::cpu.inst         2312                       # number of overall (read+write) accesses (Count)
system.l2cache.overallAccesses::cpu.data       290547                       # number of overall (read+write) accesses (Count)
system.l2cache.overallAccesses::total          292859                       # number of overall (read+write) accesses (Count)
system.l2cache.demandMissRate::cpu.inst      0.928633                       # miss rate for demand accesses (Ratio)
system.l2cache.demandMissRate::cpu.data      0.057760                       # miss rate for demand accesses (Ratio)
system.l2cache.demandMissRate::total         0.064635                       # miss rate for demand accesses (Ratio)
system.l2cache.overallMissRate::cpu.inst     0.928633                       # miss rate for overall accesses (Ratio)
system.l2cache.overallMissRate::cpu.data     0.057760                       # miss rate for overall accesses (Ratio)
system.l2cache.overallMissRate::total        0.064635                       # miss rate for overall accesses (Ratio)
system.l2cache.demandAvgMissLatency::cpu.inst 54727.124360                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.demandAvgMissLatency::cpu.data 54058.056489                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.demandAvgMissLatency::total 54133.944741                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.overallAvgMissLatency::cpu.inst 54727.124360                       # average overall miss latency ((Tick/Count))
system.l2cache.overallAvgMissLatency::cpu.data 54058.056489                       # average overall miss latency ((Tick/Count))
system.l2cache.overallAvgMissLatency::total 54133.944741                       # average overall miss latency ((Tick/Count))
system.l2cache.blockedCycles::no_mshrs              0                       # number of cycles access was blocked (Cycle)
system.l2cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.l2cache.blockedCauses::no_mshrs              0                       # number of times access was blocked (Count)
system.l2cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.l2cache.avgBlocked::no_mshrs               nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2cache.avgBlocked::no_targets             nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2cache.writebacks::writebacks            1847                       # number of writebacks (Count)
system.l2cache.writebacks::total                 1847                       # number of writebacks (Count)
system.l2cache.demandMshrMisses::cpu.inst         2147                       # number of demand (read+write) MSHR misses (Count)
system.l2cache.demandMshrMisses::cpu.data        16782                       # number of demand (read+write) MSHR misses (Count)
system.l2cache.demandMshrMisses::total          18929                       # number of demand (read+write) MSHR misses (Count)
system.l2cache.overallMshrMisses::cpu.inst         2147                       # number of overall MSHR misses (Count)
system.l2cache.overallMshrMisses::cpu.data        16782                       # number of overall MSHR misses (Count)
system.l2cache.overallMshrMisses::total         18929                       # number of overall MSHR misses (Count)
system.l2cache.demandMshrMissLatency::cpu.inst    114752256                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2cache.demandMshrMissLatency::cpu.data    885721344                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2cache.demandMshrMissLatency::total   1000473600                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2cache.overallMshrMissLatency::cpu.inst    114752256                       # number of overall MSHR miss ticks (Tick)
system.l2cache.overallMshrMissLatency::cpu.data    885721344                       # number of overall MSHR miss ticks (Tick)
system.l2cache.overallMshrMissLatency::total   1000473600                       # number of overall MSHR miss ticks (Tick)
system.l2cache.demandMshrMissRate::cpu.inst     0.928633                       # mshr miss ratio for demand accesses (Ratio)
system.l2cache.demandMshrMissRate::cpu.data     0.057760                       # mshr miss ratio for demand accesses (Ratio)
system.l2cache.demandMshrMissRate::total     0.064635                       # mshr miss ratio for demand accesses (Ratio)
system.l2cache.overallMshrMissRate::cpu.inst     0.928633                       # mshr miss ratio for overall accesses (Ratio)
system.l2cache.overallMshrMissRate::cpu.data     0.057760                       # mshr miss ratio for overall accesses (Ratio)
system.l2cache.overallMshrMissRate::total     0.064635                       # mshr miss ratio for overall accesses (Ratio)
system.l2cache.demandAvgMshrMissLatency::cpu.inst 53447.720540                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.demandAvgMshrMissLatency::cpu.data 52778.056489                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.demandAvgMshrMissLatency::total 52854.012362                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.overallAvgMshrMissLatency::cpu.inst 53447.720540                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.overallAvgMshrMissLatency::cpu.data 52778.056489                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.overallAvgMshrMissLatency::total 52854.012362                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.replacements                     11394                       # number of replacements (Count)
system.l2cache.ReadCleanReq.hits::cpu.inst          165                       # number of ReadCleanReq hits (Count)
system.l2cache.ReadCleanReq.hits::total           165                       # number of ReadCleanReq hits (Count)
system.l2cache.ReadCleanReq.misses::cpu.inst         2147                       # number of ReadCleanReq misses (Count)
system.l2cache.ReadCleanReq.misses::total         2147                       # number of ReadCleanReq misses (Count)
system.l2cache.ReadCleanReq.missLatency::cpu.inst    117499136                       # number of ReadCleanReq miss ticks (Tick)
system.l2cache.ReadCleanReq.missLatency::total    117499136                       # number of ReadCleanReq miss ticks (Tick)
system.l2cache.ReadCleanReq.accesses::cpu.inst         2312                       # number of ReadCleanReq accesses(hits+misses) (Count)
system.l2cache.ReadCleanReq.accesses::total         2312                       # number of ReadCleanReq accesses(hits+misses) (Count)
system.l2cache.ReadCleanReq.missRate::cpu.inst     0.928633                       # miss rate for ReadCleanReq accesses (Ratio)
system.l2cache.ReadCleanReq.missRate::total     0.928633                       # miss rate for ReadCleanReq accesses (Ratio)
system.l2cache.ReadCleanReq.avgMissLatency::cpu.inst 54727.124360                       # average ReadCleanReq miss latency ((Tick/Count))
system.l2cache.ReadCleanReq.avgMissLatency::total 54727.124360                       # average ReadCleanReq miss latency ((Tick/Count))
system.l2cache.ReadCleanReq.mshrMisses::cpu.inst         2147                       # number of ReadCleanReq MSHR misses (Count)
system.l2cache.ReadCleanReq.mshrMisses::total         2147                       # number of ReadCleanReq MSHR misses (Count)
system.l2cache.ReadCleanReq.mshrMissLatency::cpu.inst    114752256                       # number of ReadCleanReq MSHR miss ticks (Tick)
system.l2cache.ReadCleanReq.mshrMissLatency::total    114752256                       # number of ReadCleanReq MSHR miss ticks (Tick)
system.l2cache.ReadCleanReq.mshrMissRate::cpu.inst     0.928633                       # mshr miss rate for ReadCleanReq accesses (Ratio)
system.l2cache.ReadCleanReq.mshrMissRate::total     0.928633                       # mshr miss rate for ReadCleanReq accesses (Ratio)
system.l2cache.ReadCleanReq.avgMshrMissLatency::cpu.inst 53447.720540                       # average ReadCleanReq mshr miss latency ((Tick/Count))
system.l2cache.ReadCleanReq.avgMshrMissLatency::total 53447.720540                       # average ReadCleanReq mshr miss latency ((Tick/Count))
system.l2cache.ReadExReq.hits::cpu.data           967                       # number of ReadExReq hits (Count)
system.l2cache.ReadExReq.hits::total              967                       # number of ReadExReq hits (Count)
system.l2cache.ReadExReq.misses::cpu.data         7618                       # number of ReadExReq misses (Count)
system.l2cache.ReadExReq.misses::total           7618                       # number of ReadExReq misses (Count)
system.l2cache.ReadExReq.missLatency::cpu.data    397567744                       # number of ReadExReq miss ticks (Tick)
system.l2cache.ReadExReq.missLatency::total    397567744                       # number of ReadExReq miss ticks (Tick)
system.l2cache.ReadExReq.accesses::cpu.data         8585                       # number of ReadExReq accesses(hits+misses) (Count)
system.l2cache.ReadExReq.accesses::total         8585                       # number of ReadExReq accesses(hits+misses) (Count)
system.l2cache.ReadExReq.missRate::cpu.data     0.887362                       # miss rate for ReadExReq accesses (Ratio)
system.l2cache.ReadExReq.missRate::total     0.887362                       # miss rate for ReadExReq accesses (Ratio)
system.l2cache.ReadExReq.avgMissLatency::cpu.data 52187.942242                       # average ReadExReq miss latency ((Tick/Count))
system.l2cache.ReadExReq.avgMissLatency::total 52187.942242                       # average ReadExReq miss latency ((Tick/Count))
system.l2cache.ReadExReq.mshrMisses::cpu.data         7618                       # number of ReadExReq MSHR misses (Count)
system.l2cache.ReadExReq.mshrMisses::total         7618                       # number of ReadExReq MSHR misses (Count)
system.l2cache.ReadExReq.mshrMissLatency::cpu.data    387816704                       # number of ReadExReq MSHR miss ticks (Tick)
system.l2cache.ReadExReq.mshrMissLatency::total    387816704                       # number of ReadExReq MSHR miss ticks (Tick)
system.l2cache.ReadExReq.mshrMissRate::cpu.data     0.887362                       # mshr miss rate for ReadExReq accesses (Ratio)
system.l2cache.ReadExReq.mshrMissRate::total     0.887362                       # mshr miss rate for ReadExReq accesses (Ratio)
system.l2cache.ReadExReq.avgMshrMissLatency::cpu.data 50907.942242                       # average ReadExReq mshr miss latency ((Tick/Count))
system.l2cache.ReadExReq.avgMshrMissLatency::total 50907.942242                       # average ReadExReq mshr miss latency ((Tick/Count))
system.l2cache.ReadSharedReq.hits::cpu.data       272798                       # number of ReadSharedReq hits (Count)
system.l2cache.ReadSharedReq.hits::total       272798                       # number of ReadSharedReq hits (Count)
system.l2cache.ReadSharedReq.misses::cpu.data         9164                       # number of ReadSharedReq misses (Count)
system.l2cache.ReadSharedReq.misses::total         9164                       # number of ReadSharedReq misses (Count)
system.l2cache.ReadSharedReq.missLatency::cpu.data    509634560                       # number of ReadSharedReq miss ticks (Tick)
system.l2cache.ReadSharedReq.missLatency::total    509634560                       # number of ReadSharedReq miss ticks (Tick)
system.l2cache.ReadSharedReq.accesses::cpu.data       281962                       # number of ReadSharedReq accesses(hits+misses) (Count)
system.l2cache.ReadSharedReq.accesses::total       281962                       # number of ReadSharedReq accesses(hits+misses) (Count)
system.l2cache.ReadSharedReq.missRate::cpu.data     0.032501                       # miss rate for ReadSharedReq accesses (Ratio)
system.l2cache.ReadSharedReq.missRate::total     0.032501                       # miss rate for ReadSharedReq accesses (Ratio)
system.l2cache.ReadSharedReq.avgMissLatency::cpu.data 55612.675687                       # average ReadSharedReq miss latency ((Tick/Count))
system.l2cache.ReadSharedReq.avgMissLatency::total 55612.675687                       # average ReadSharedReq miss latency ((Tick/Count))
system.l2cache.ReadSharedReq.mshrMisses::cpu.data         9164                       # number of ReadSharedReq MSHR misses (Count)
system.l2cache.ReadSharedReq.mshrMisses::total         9164                       # number of ReadSharedReq MSHR misses (Count)
system.l2cache.ReadSharedReq.mshrMissLatency::cpu.data    497904640                       # number of ReadSharedReq MSHR miss ticks (Tick)
system.l2cache.ReadSharedReq.mshrMissLatency::total    497904640                       # number of ReadSharedReq MSHR miss ticks (Tick)
system.l2cache.ReadSharedReq.mshrMissRate::cpu.data     0.032501                       # mshr miss rate for ReadSharedReq accesses (Ratio)
system.l2cache.ReadSharedReq.mshrMissRate::total     0.032501                       # mshr miss rate for ReadSharedReq accesses (Ratio)
system.l2cache.ReadSharedReq.avgMshrMissLatency::cpu.data 54332.675687                       # average ReadSharedReq mshr miss latency ((Tick/Count))
system.l2cache.ReadSharedReq.avgMshrMissLatency::total 54332.675687                       # average ReadSharedReq mshr miss latency ((Tick/Count))
system.l2cache.UpgradeReq.hits::cpu.data           45                       # number of UpgradeReq hits (Count)
system.l2cache.UpgradeReq.hits::total              45                       # number of UpgradeReq hits (Count)
system.l2cache.UpgradeReq.accesses::cpu.data           45                       # number of UpgradeReq accesses(hits+misses) (Count)
system.l2cache.UpgradeReq.accesses::total           45                       # number of UpgradeReq accesses(hits+misses) (Count)
system.l2cache.WritebackClean.hits::writebacks         1798                       # number of WritebackClean hits (Count)
system.l2cache.WritebackClean.hits::total         1798                       # number of WritebackClean hits (Count)
system.l2cache.WritebackClean.accesses::writebacks         1798                       # number of WritebackClean accesses(hits+misses) (Count)
system.l2cache.WritebackClean.accesses::total         1798                       # number of WritebackClean accesses(hits+misses) (Count)
system.l2cache.WritebackDirty.hits::writebacks       276225                       # number of WritebackDirty hits (Count)
system.l2cache.WritebackDirty.hits::total       276225                       # number of WritebackDirty hits (Count)
system.l2cache.WritebackDirty.accesses::writebacks       276225                       # number of WritebackDirty accesses(hits+misses) (Count)
system.l2cache.WritebackDirty.accesses::total       276225                       # number of WritebackDirty accesses(hits+misses) (Count)
system.l2cache.power_state.pwrStateResidencyTicks::UNDEFINED   2441001728                       # Cumulative time (in ticks) in various power states (Tick)
system.l2cache.tags.tagsInUse             7435.208160                       # Average ticks per tags in use ((Tick/Count))
system.l2cache.tags.totalRefs                  584736                       # Total number of references to valid blocks. (Count)
system.l2cache.tags.sampledRefs                 19586                       # Sample count of references to valid blocks. (Count)
system.l2cache.tags.avgRefs                 29.854794                       # Average number of references to valid blocks. ((Count/Count))
system.l2cache.tags.warmupTick                  71424                       # The tick when the warmup percentage was hit. (Tick)
system.l2cache.tags.occupancies::writebacks    87.124468                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.l2cache.tags.occupancies::cpu.inst   559.693265                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.l2cache.tags.occupancies::cpu.data  6788.390427                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.l2cache.tags.avgOccs::writebacks      0.010635                       # Average percentage of cache occupancy ((Ratio/Tick))
system.l2cache.tags.avgOccs::cpu.inst        0.068322                       # Average percentage of cache occupancy ((Ratio/Tick))
system.l2cache.tags.avgOccs::cpu.data        0.828661                       # Average percentage of cache occupancy ((Ratio/Tick))
system.l2cache.tags.avgOccs::total           0.907618                       # Average percentage of cache occupancy ((Ratio/Tick))
system.l2cache.tags.occupanciesTaskId::1024         8192                       # Occupied blocks per task id (Count)
system.l2cache.tags.ageTaskId_1024::0             389                       # Occupied blocks per task id, per block age (Count)
system.l2cache.tags.ageTaskId_1024::1             720                       # Occupied blocks per task id, per block age (Count)
system.l2cache.tags.ageTaskId_1024::3            7083                       # Occupied blocks per task id, per block age (Count)
system.l2cache.tags.ratioOccsTaskId::1024            1                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.l2cache.tags.tagAccesses               9375378                       # Number of tag accesses (Count)
system.l2cache.tags.dataAccesses              9375378                       # Number of data accesses (Count)
system.l2cache.tags.power_state.pwrStateResidencyTicks::UNDEFINED   2441001728                       # Cumulative time (in ticks) in various power states (Tick)
system.l3bus.transDist::ReadResp                11310                       # Transaction distribution (Count)
system.l3bus.transDist::WritebackDirty           1847                       # Transaction distribution (Count)
system.l3bus.transDist::CleanEvict               8801                       # Transaction distribution (Count)
system.l3bus.transDist::ReadExReq                7618                       # Transaction distribution (Count)
system.l3bus.transDist::ReadExResp               7618                       # Transaction distribution (Count)
system.l3bus.transDist::ReadSharedReq           11310                       # Transaction distribution (Count)
system.l3bus.pktCount_system.l2cache.mem_side_port::system.l3cache.cpu_side_port        48504                       # Packet count per connected requestor and responder (Count)
system.l3bus.pktSize_system.l2cache.mem_side_port::system.l3cache.cpu_side_port      1329600                       # Cumulative packet size per connected requestor and responder (Byte)
system.l3bus.snoops                                 0                       # Total snoops (Count)
system.l3bus.snoopTraffic                           0                       # Total snoop traffic (Byte)
system.l3bus.snoopFanout::samples               18928                       # Request fanout histogram (Count)
system.l3bus.snoopFanout::mean                      0                       # Request fanout histogram (Count)
system.l3bus.snoopFanout::stdev                     0                       # Request fanout histogram (Count)
system.l3bus.snoopFanout::underflows                0      0.00%      0.00% # Request fanout histogram (Count)
system.l3bus.snoopFanout::0                     18928    100.00%    100.00% # Request fanout histogram (Count)
system.l3bus.snoopFanout::1                         0      0.00%    100.00% # Request fanout histogram (Count)
system.l3bus.snoopFanout::overflows                 0      0.00%    100.00% # Request fanout histogram (Count)
system.l3bus.snoopFanout::min_value                 0                       # Request fanout histogram (Count)
system.l3bus.snoopFanout::max_value                 0                       # Request fanout histogram (Count)
system.l3bus.snoopFanout::total                 18928                       # Request fanout histogram (Count)
system.l3bus.power_state.pwrStateResidencyTicks::UNDEFINED   2441001728                       # Cumulative time (in ticks) in various power states (Tick)
system.l3bus.reqLayer0.occupancy              8517120                       # Layer occupancy (ticks) (Tick)
system.l3bus.reqLayer0.utilization                0.0                       # Layer utilization (Ratio)
system.l3bus.respLayer0.occupancy            14536704                       # Layer occupancy (ticks) (Tick)
system.l3bus.respLayer0.utilization               0.0                       # Layer utilization (Ratio)
system.l3bus.snoop_filter.totRequests           29576                       # Total number of requests made to the snoop filter. (Count)
system.l3bus.snoop_filter.hitSingleRequests        10648                       # Number of requests hitting in the snoop filter with a single holder of the requested data. (Count)
system.l3bus.snoop_filter.hitMultiRequests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.l3bus.snoop_filter.totSnoops                 0                       # Total number of snoops made to the snoop filter. (Count)
system.l3bus.snoop_filter.hitSingleSnoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data. (Count)
system.l3bus.snoop_filter.hitMultiSnoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.l3cache.demandHits::cpu.inst                71                       # number of demand (read+write) hits (Count)
system.l3cache.demandHits::cpu.data               678                       # number of demand (read+write) hits (Count)
system.l3cache.demandHits::total                  749                       # number of demand (read+write) hits (Count)
system.l3cache.overallHits::cpu.inst               71                       # number of overall hits (Count)
system.l3cache.overallHits::cpu.data              678                       # number of overall hits (Count)
system.l3cache.overallHits::total                 749                       # number of overall hits (Count)
system.l3cache.demandMisses::cpu.inst            2075                       # number of demand (read+write) misses (Count)
system.l3cache.demandMisses::cpu.data           16104                       # number of demand (read+write) misses (Count)
system.l3cache.demandMisses::total              18179                       # number of demand (read+write) misses (Count)
system.l3cache.overallMisses::cpu.inst           2075                       # number of overall misses (Count)
system.l3cache.overallMisses::cpu.data          16104                       # number of overall misses (Count)
system.l3cache.overallMisses::total             18179                       # number of overall misses (Count)
system.l3cache.demandMissLatency::cpu.inst    110041344                       # number of demand (read+write) miss ticks (Tick)
system.l3cache.demandMissLatency::cpu.data    847455488                       # number of demand (read+write) miss ticks (Tick)
system.l3cache.demandMissLatency::total     957496832                       # number of demand (read+write) miss ticks (Tick)
system.l3cache.overallMissLatency::cpu.inst    110041344                       # number of overall miss ticks (Tick)
system.l3cache.overallMissLatency::cpu.data    847455488                       # number of overall miss ticks (Tick)
system.l3cache.overallMissLatency::total    957496832                       # number of overall miss ticks (Tick)
system.l3cache.demandAccesses::cpu.inst          2146                       # number of demand (read+write) accesses (Count)
system.l3cache.demandAccesses::cpu.data         16782                       # number of demand (read+write) accesses (Count)
system.l3cache.demandAccesses::total            18928                       # number of demand (read+write) accesses (Count)
system.l3cache.overallAccesses::cpu.inst         2146                       # number of overall (read+write) accesses (Count)
system.l3cache.overallAccesses::cpu.data        16782                       # number of overall (read+write) accesses (Count)
system.l3cache.overallAccesses::total           18928                       # number of overall (read+write) accesses (Count)
system.l3cache.demandMissRate::cpu.inst      0.966915                       # miss rate for demand accesses (Ratio)
system.l3cache.demandMissRate::cpu.data      0.959600                       # miss rate for demand accesses (Ratio)
system.l3cache.demandMissRate::total         0.960429                       # miss rate for demand accesses (Ratio)
system.l3cache.overallMissRate::cpu.inst     0.966915                       # miss rate for overall accesses (Ratio)
system.l3cache.overallMissRate::cpu.data     0.959600                       # miss rate for overall accesses (Ratio)
system.l3cache.overallMissRate::total        0.960429                       # miss rate for overall accesses (Ratio)
system.l3cache.demandAvgMissLatency::cpu.inst 53031.973012                       # average overall miss latency in ticks ((Tick/Count))
system.l3cache.demandAvgMissLatency::cpu.data 52623.912568                       # average overall miss latency in ticks ((Tick/Count))
system.l3cache.demandAvgMissLatency::total 52670.489686                       # average overall miss latency in ticks ((Tick/Count))
system.l3cache.overallAvgMissLatency::cpu.inst 53031.973012                       # average overall miss latency ((Tick/Count))
system.l3cache.overallAvgMissLatency::cpu.data 52623.912568                       # average overall miss latency ((Tick/Count))
system.l3cache.overallAvgMissLatency::total 52670.489686                       # average overall miss latency ((Tick/Count))
system.l3cache.blockedCycles::no_mshrs              0                       # number of cycles access was blocked (Cycle)
system.l3cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.l3cache.blockedCauses::no_mshrs              0                       # number of times access was blocked (Count)
system.l3cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.l3cache.avgBlocked::no_mshrs               nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l3cache.avgBlocked::no_targets             nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l3cache.demandMshrMisses::cpu.inst         2075                       # number of demand (read+write) MSHR misses (Count)
system.l3cache.demandMshrMisses::cpu.data        16104                       # number of demand (read+write) MSHR misses (Count)
system.l3cache.demandMshrMisses::total          18179                       # number of demand (read+write) MSHR misses (Count)
system.l3cache.overallMshrMisses::cpu.inst         2075                       # number of overall MSHR misses (Count)
system.l3cache.overallMshrMisses::cpu.data        16104                       # number of overall MSHR misses (Count)
